,attributes_tischtennisplatten,geometry,lat,lon
391,1,POINT (7.0230773561940945 50.93437956189674),50.93437956189674,7.0230773561940945
394,1,POINT (7.022374507761969 50.932377624387755),50.932377624387755,7.022374507761969
398,1,POINT (6.958425984099005 50.959442459100615),50.959442459100615,6.958425984099005
399,1,POINT (6.955736405268932 50.96606180842401),50.96606180842401,6.955736405268932
401,2,POINT (6.951535507048907 50.95689272804024),50.95689272804024,6.951535507048907
402,1,POINT (6.957302202071778 50.958565252789825),50.958565252789825,6.957302202071778
406,2,POINT (6.951208402753859 50.968432577065606),50.968432577065606,6.951208402753859
408,1,POINT (6.9651208246019305 50.9654063506315),50.9654063506315,6.9651208246019305
409,1,POINT (6.967155247899047 50.970149325612546),50.970149325612546,6.967155247899047
410,1,POINT (6.967546988346735 50.96933967597062),50.96933967597062,6.967546988346735
412,1,POINT (6.942404648796958 50.96806860295555),50.96806860295555,6.942404648796958
415,1,POINT (6.9372292840954115 50.97657340051863),50.97657340051863,6.9372292840954115
418,2,POINT (6.941112576836121 50.972274810789465),50.972274810789465,6.941112576836121
419,1,POINT (6.943227247741871 50.973786565443625),50.973786565443625,6.943227247741871
420,1,POINT (6.972007092314205 50.96707408083464),50.96707408083464,6.972007092314205
421,1,POINT (6.975097567113 50.96574945457899),50.96574945457899,6.975097567113
424,2,POINT (6.988670115648263 50.964714584868105),50.964714584868105,6.988670115648263
428,1,POINT (6.954841952182008 50.98603691285184),50.98603691285184,6.954841952182008
429,1,POINT (6.954242459073874 50.99381361334892),50.99381361334892,6.954242459073874
430,1,POINT (6.964501804405924 50.98955659703858),50.98955659703858,6.964501804405924
434,1,POINT (6.947475745711217 50.97902848214463),50.97902848214463,6.947475745711217
435,1,POINT (6.935004352900183 50.9922231557973),50.9922231557973,6.935004352900183
439,1,POINT (6.914617052477887 50.99041425131445),50.99041425131445,6.914617052477887
440,1,POINT (6.917192778390159 50.99345085302128),50.99345085302128,6.917192778390159
443,1,POINT (6.906527875878596 50.995140827477876),50.995140827477876,6.906527875878596
445,1,POINT (6.9304500776793825 50.97117185625939),50.97117185625939,6.9304500776793825
446,1,POINT (6.92716129404406 50.97565894013193),50.97565894013193,6.92716129404406
448,2,POINT (6.925626117394338 50.9642689893383),50.9642689893383,6.925626117394338
450,2,POINT (6.92804458242908 50.96122631206789),50.96122631206789,6.92804458242908
452,1,POINT (6.931693631750694 50.96725918279002),50.96725918279002,6.931693631750694
453,1,POINT (6.932538212006882 50.966532829348914),50.966532829348914,6.932538212006882
454,2,POINT (6.940959718428991 50.96458591239202),50.96458591239202,6.940959718428991
456,1,POINT (6.913075087742745 51.05163185210049),51.05163185210049,6.913075087742745
457,1,POINT (6.961276008072213 51.02255328282267),51.02255328282267,6.961276008072213
461,1,POINT (6.904588718584018 51.03808235527814),51.03808235527814,6.904588718584018
465,2,POINT (6.904687206522825 51.020726114469184),51.020726114469184,6.904687206522825
469,1,POINT (6.915305701551181 51.0169388893697),51.0169388893697,6.915305701551181
471,1,POINT (6.89911954175942 51.01286731393949),51.01286731393949,6.89911954175942
473,1,POINT (6.9020752135496615 51.01106346058509),51.01106346058509,6.9020752135496615
476,1,POINT (6.886466772697953 51.0051874787754),51.0051874787754,6.886466772697953
477,2,POINT (6.8891516402351485 51.00459395809218),51.00459395809218,6.8891516402351485
479,1,POINT (6.89464073393644 51.00145383707963),51.00145383707963,6.89464073393644
483,1,POINT (6.873969979779791 50.994264241952614),50.994264241952614,6.873969979779791
486,2,POINT (6.869384337976073 50.997115505063135),50.997115505063135,6.869384337976073
492,1,POINT (6.854628808937378 51.01288572632791),51.01288572632791,6.854628808937378
495,1,POINT (7.038793196414947 50.98550668365179),50.98550668365179,7.038793196414947
498,1,POINT (7.043556463677702 50.97714288605942),50.97714288605942,7.043556463677702
505,2,POINT (7.0260452820988775 50.9964295895931),50.9964295895931,7.0260452820988775
507,1,POINT (7.052293703508971 50.99717936705568),50.99717936705568,7.052293703508971
508,1,POINT (7.040937896860292 50.99928604253629),50.99928604253629,7.040937896860292
512,2,POINT (6.995221104319169 50.9870023257726),50.9870023257726,6.995221104319169
514,1,POINT (6.9877856805450005 50.98713798038275),50.98713798038275,6.9877856805450005
515,1,POINT (6.986360595878276 50.99041098906809),50.99041098906809,6.986360595878276
516,1,POINT (6.978988220681005 50.999306349017566),50.999306349017566,6.978988220681005
517,1,POINT (6.993884436442111 50.99988431408237),50.99988431408237,6.993884436442111
521,1,POINT (6.89764410297212 50.979504838443376),50.979504838443376,6.89764410297212
523,1,POINT (6.9105768036154185 51.019390159519375),51.019390159519375,6.9105768036154185
525,1,POINT (7.039039005958664 50.93335941368834),50.93335941368834,7.039039005958664
530,1,POINT (6.870600534003163 50.92455827348147),50.92455827348147,6.870600534003163
532,1,POINT (7.011476620463125 50.87915041607107),50.87915041607107,7.011476620463125
539,1,POINT (7.017737643346177 50.930627916938505),50.930627916938505,7.017737643346177
541,1,POINT (7.021121865837821 50.94492023336454),50.94492023336454,7.021121865837821
544,1,POINT (7.0244573511184365 50.94327206524415),50.94327206524415,7.0244573511184365
548,2,POINT (7.025803273052601 50.937076366246565),50.937076366246565,7.025803273052601
549,1,POINT (7.022873144684134 50.93858938029403),50.93858938029403,7.022873144684134
551,2,POINT (7.033457968532474 50.945691139545694),50.945691139545694,7.033457968532474
